city_id,city_name
38741,Castellammare di Stabia
27531,Castellon de la Plana
13748,Castelo Branco
26251,Castelvetrano
47101,Castets
47881,Castrovillari-Frascineto
14788,Catania
14798,Catanzaro
13368,Cattolica
35801,Cazin
27211,"Cedar City, UT"
12718,Ceglie Messapica
119,Celle
13758,Celorico da Beira
8668,Cerignola
15288,Cernavodă
44521,Cervera
12968,Cervia
8768,Cesena
12978,Cesenatico
46061,Cetinje
26771,Cetraro
4198,Chalon-sur-Saône
3338,Chambéry
13088,Chamonix-Mont-Blanc
39581,"Charlotte, NC"
16108,Chateaulin
11088,Chatillon
13768,Chaves
5368,Cheb
170,Chemnitz
44551,Chernivtsі
47961,Chester
10798,Chieti
35781,Chisinau
13428,Chivasso
27011,Chojnice
23168,Chomutov
44061,Chrudim
1494,Chur
4188,Châlons-en-champagne
14348,Château-Thierry
26931,Chłapowo
40781,Cide
21818,Ciechocinek
22128,Cieszyn
41752,Cihanbeyli
45581,Cirkovljan
18468,Cirò Marina
24711,Cista Provo
8758,Civitanova Marche
3138,Clermont-Ferrand
12148,Cluj-Napoca
135,Coblenz
36611,"Coeur d'Alene, ID"
13778,Coimbra
3358,Colmar
107,Cologne
12388,Como
18748,Compiègne
7878,Concarneau
90,Constance
15308,Constanța
1905,Copenhagen
22268,Copenhagen Airport (Kastrup)
12778,Corato
14808,Corigliano
10528,Cortina d'Ampezzo
36511,"Corvallis, OR"
14818,Cosenza
340,Cottbus
9508,Courmayeur
13798,Covilhã
15118,Craiova
12928,Cremona
6388,Crikvenica
26811,Cropani
18478,Crotone
21728,Cupra Marittima
21228,Cutro
28601,Czarna Górna
28171,Czorsztyn
9798,Częstochowa
27031,Człuchów
15248,Câmpia Turzii
15258,Câmpulung Moldovenesc
15228,Călărași
2288,Dahme
40811,Dalaman
26951,"Dallas, TX"
40821,Darende
97,Darmstadt
40851,Datça
28771,"Davis, CA"
14358,Dax
4258,Deauville
38581,Debar
15318,Dej
3378,Delft
921,Delmenhorst
14648,Delnice
5038,Den Bosch (‘s-Hertogenbosch)
41792,Denizli
46571,Derby
44391,Derepazarı
13168,Derventa
47481,Desná
8468,Dessau
6398,Deva
41802,Devrek
26561,Diamante
41812,Didim
4268,Dieppe
14368,Differdange
3398,Dijon
40831,Dikili
40841,Dinar
13178,Doboj
9538,Dole
47761,Dolní Dvořiště
12078,Dolný Kubín
25411,Donaueschingen
45631,Donja Dubrava
44631,Donja Zelina
21978,Donji Andrijevci
45601,Donji Mihaljevec
10158,Donji Miholjac
44371,Donji Milanovac
45541,Donji Pustakovec
17698,Donji Vakuf
26411,Donoratico-Castagneto Carducci
12068,Donovaly
131,Dortmund
8118,Drachten
40071,Drač
45591,Draškovec
355,Dresden
15328,Drobeta-Turnu Severin
33411,Druskininkai
24701,Drvenik
24781,Dubci
9698,Dubrovnik
24791,Dugi Rat
10278,Dugopolje
200,Duisburg
4308,Dunkerque
39621,"Durham, NC"
24361,Duszniki-Zdrój
108,Düsseldorf
41832,Düzce
33601,Dębica
47171,Dębki
39751,Dźwirzyno
10958,Eboli
41852,Edremit
5078,Eindhoven
361,Eisenach
20738,"El Centro, CA"
31161,El Fresno
41862,Elazığ
18578,Elblag
40871,Eleşkirt
36551,"Ellensburg, WA"
40881,Elmadağ
44961,Elmalık (Bolu)
40891,Emet
40901,Emirdağ
19098,Empoli
2448,Engen
24171,Enna
41872,Erbaa
41882,Erciş
26541,Ercolano
40911,Erdek
41902,Ereğli-Kdz
40921,Erfelek
372,Erfurt
150,Erlangen
41922,Erzincan
41932,Erzurum
7118,Esbjerg
14378,Esch-sur-Alzette
20628,"Escondido, CA"
41942,Eskişehir
47371,Eskişehir TCDD Gar
40941,Espiye
13808,Esposende
134,Essen
36521,"Eugene, OR"
36561,"Everett, WA"
21898,Evora
44841,Eynesil
40951,Ezine
40861,Eğirdir
25631,Ełk
13818,Fafe
6808,Falkenberg
46471,Falköping
18328,Faro
12698,Fasano
41952,Fatsa
47601,"Fayetteville, NC"
5418,Ferrara
15348,Fetești
41962,Fethiye
13848,Figueira da Foz
15368,Filiași
40961,Finike
23138,Firmo
21018,Fisciano
20638,"Flagstaff, AZ"
1845,Florence
47581,"Florence, SC"
15358,Focșani
3038,Foggia
9418,Follonica
5848,Forbach
36631,"Fort Lauderdale, FL"
39861,"Fort Myers, FL"
39901,"Fort Pierce, FL"
26941,"Fort Worth, TX"
47031,Foča
12728,Francavilla Fontana
96,Frankfurt
8498,Frankfurt (Oder)
120,Frankfurt Airport
1855,Frankfurt Hahn
92,Freiburg (i.Br.)
20188,"Fresno, CA"
387,Freudenstadt
17068,Freyung
362,Fribourg (Suisse)
93,Friedrichshafen
9678,Frosinone
43691,Frymburk
16078,Fréjus
389,Fulda
13868,Fundão
13828,Fátima
22398,Fårbo
4348,Fécamp
8318,Fürth
6408,Făgăraș
15338,Fălticeni
44401,Fındıklı
47011,Gacko
16748,Gajana Vodnjan
15398,Galați
28801,Galdo
16528,Galižana
12768,Gallipoli
22368,Gamleby
27541,Gandia
9468,Gardaland
971,Garmisch-Partenkirchen
